コード,名称,値段,場所,お店,集計キー
1,和風炊込みごはん弁当,490,本社,ままかまど,1
2,和風炊込みごはん弁当,490,詰所,ままかまど（詰所）,1
3,和風めんたいこ弁当,490,本社,ままかまど,1
4,和風めんたいこ弁当,490,詰所,ままかまど（詰所）,1
5,和風めんたいこ弁当（大盛）,570,本社,ままかまど,1
6,和風めんたいこ弁当（大盛）,570,詰所,ままかまど（詰所）,1
7,和風のり弁当,450,本社,ままかまど,1
8,和風のり弁当,450,詰所,ままかまど（詰所）,1
9,和風のり弁当（大盛）,530,本社,ままかまど,1
10,和風のり弁当（大盛）,530,詰所,ままかまど（詰所）,1
11,デミグラスハンバーグ,540,本社,ままかまど,1
12,デミグラスハンバーグ,540,詰所,ままかまど（詰所）,1
13,デミグラスハンバーグ（大盛）,620,本社,ままかまど,1
14,デミグラスハンバーグ（大盛）,620,詰所,ままかまど（詰所）,1
15,デミグラスハンバーグ（ＳＰ）,760,本社,ままかまど,1
16,デミグラスハンバーグ（ＳＰ）,760,詰所,ままかまど（詰所）,1
17,ヒレカツ弁当,630,本社,ままかまど,1
18,ヒレカツ弁当,630,詰所,ままかまど（詰所）,1
19,ヒレカツ弁当（大盛）,710,本社,ままかまど,1
20,ヒレカツ弁当（大盛）,710,詰所,ままかまど（詰所）,1
21,ヒレカツ弁当（ＳＰ）,850,本社,ままかまど,1
22,ヒレカツ弁当（ＳＰ）,850,詰所,ままかまど（詰所）,1
23,ミックスグリル弁当,660,本社,ままかまど,1
24,ミックスグリル弁当,660,詰所,ままかまど（詰所）,1
25,ミックスグリル弁当（大盛）,740,本社,ままかまど,1
26,ミックスグリル弁当（大盛）,740,詰所,ままかまど（詰所）,1
27,ミックスグリル弁当（ＳＰ）,880,本社,ままかまど,1
28,ミックスグリル弁当（ＳＰ）,880,詰所,ままかまど（詰所）,1
29,カラアゲ弁当,660,本社,ままかまど,1
30,カラアゲ弁当,660,詰所,ままかまど（詰所）,1
31,カラアゲ弁当（大盛）,740,本社,ままかまど,1
32,カラアゲ弁当（大盛）,740,詰所,ままかまど（詰所）,1
33,カラアゲ弁当（ＳＰ）,880,本社,ままかまど,1
34,カラアゲ弁当（ＳＰ）,880,詰所,ままかまど（詰所）,1
35,豚しょうが焼弁当,680,本社,ままかまど,1
36,豚しょうが焼弁当,680,詰所,ままかまど（詰所）,1
37,豚しょうが焼弁当（大盛）,760,本社,ままかまど,1
38,豚しょうが焼弁当（大盛）,760,詰所,ままかまど（詰所）,1
39,豚しょうが焼弁当（ＳＰ）,900,本社,ままかまど,1
40,豚しょうが焼弁当（ＳＰ）,900,詰所,ままかまど（詰所）,1
41,チキン南蛮弁当,680,本社,ままかまど,1
42,チキン南蛮弁当,680,詰所,ままかまど（詰所）,1
43,チキン南蛮弁当（大盛）,760,本社,ままかまど,1
44,チキン南蛮弁当（大盛）,760,詰所,ままかまど（詰所）,1
45,チキン南蛮弁当（ＳＰ）,900,本社,ままかまど,1
46,チキン南蛮弁当（ＳＰ）,900,詰所,ままかまど（詰所）,1
47,のりカラ弁当,720,本社,ままかまど,1
48,のりカラ弁当,720,詰所,ままかまど（詰所）,1
49,のりカラ弁当（大盛）,800,本社,ままかまど,1
50,のりカラ弁当（大盛）,800,詰所,ままかまど（詰所）,1
51,のりカラ弁当（ＳＰ）,940,本社,ままかまど,1
52,のりカラ弁当（ＳＰ）,940,詰所,ままかまど（詰所）,1
53,牛焼肉弁当,750,本社,ままかまど,1
54,牛焼肉弁当,750,詰所,ままかまど（詰所）,1
55,牛焼肉弁当（大盛）,830,本社,ままかまど,1
56,牛焼肉弁当（大盛）,830,詰所,ままかまど（詰所）,1
57,牛焼肉弁当（ＳＰ）,970,本社,ままかまど,1
58,牛焼肉弁当（ＳＰ）,970,詰所,ままかまど（詰所）,1
59,カラめんたい,750,本社,ままかまど,1
60,カラめんたい,750,詰所,ままかまど（詰所）,1
61,カラめんたい（大盛）,830,本社,ままかまど,1
62,カラめんたい（大盛）,830,詰所,ままかまど（詰所）,1
63,カラめんたい（ＳＰ）,970,本社,ままかまど,1
64,カラめんたい（ＳＰ）,970,詰所,ままかまど（詰所）,1
65,大関さん弁当,750,本社,ままかまど,1
66,大関さん弁当,750,詰所,ままかまど（詰所）,1
67,大関さん弁当（大盛）,830,本社,ままかまど,1
68,大関さん弁当（大盛）,830,詰所,ままかまど（詰所）,1
69,大関さん弁当（ＳＰ）,970,本社,ままかまど,1
70,大関さん弁当（ＳＰ）,970,詰所,ままかまど（詰所）,1
71,のり弁当,430,本社,ままかまど,1
72,のり弁当,430,詰所,ままかまど（詰所）,1
73,のり弁当（大盛）,510,本社,ままかまど,1
74,のり弁当（大盛）,510,詰所,ままかまど（詰所）,1
75,めんたいタルタル弁当,550,本社,ままかまど,1
76,めんたいタルタル弁当,550,詰所,ままかまど（詰所）,1
